Boro-Block-Lot,Address,Neighborhood,Building Classification,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Report Year
1-00007-7501,1 COENTIES SLIP,FINANCIAL,R9-CONDOMINIUM,42,1920,36500,1216180,293460,922720,7156000,2012
1-00008-7501,39 WHITEHALL STREET,FINANCIAL,R4-CONDOMINIUM,78,1985,126420,6823366,1638934,5184432,39143000,2012
1-00015-7501,17 BATTERY PLACE,FINANCIAL,RR-CONDOMINIUM,500,,554174,16609710,3668467,12941243,93405000,2012
1-00015-7502,20 WEST STREET,FINANCIAL,R4-CONDOMINIUM,282,1930,249076,8946810,2744818,6201992,46825007,2012
1-00016-7501,377 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,239,1985,219495,7072129,1169908,5902221,44562006,2012
1-00016-7502,320 ALBANY STREET,TRIBECA,R4-CONDOMINIUM,133,1986,139719,5859815,1664053,4195762,31677997,2012
1-00016-7503,250 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,109,1985,105000,4471950,1131900,3340050,19435362,2012
1-00016-7504,300 ALBANY STREET,TRIBECA,R4-CONDOMINIUM,107,1986,87479,3668869,1041875,2626994,19833999,2012
1-00016-7505,380 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,247,1987,255845,9801422,2499606,7301816,55129007,2012
1-00016-7506,280 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,121,1985,106129,4451050,1263996,3187054,24062007,2012
1-00016-7507,300 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,154,1986,126008,5284776,1500755,3784021,28569001,2012
1-00016-7508,200 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,546,1987,586224,20136794,5229118,14907676,112553026,2012
1-00016-7509,21 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,182,1988,208281,8122959,2239021,5883938,44424000,2012
1-00016-7510,99 BATTERY PLACE,TRIBECA,R4-CONDOMINIUM,293,1988,341489,14014709,4166166,9848543,74356990,2012
1-00016-7511,2 SOUTH END AVENUE,TRIBECA,R4-CONDOMINIUM,163,1990,156260,6347281,1521972,4825309,36430997,2012
1-00016-7513,25 BATTERY PLACE,TRIBECA,R4-CONDOMINIUM,117,2003,267723,11798553,3185904,8612649,65025999,2012
1-00016-7514,30 WEST STREET,TRIBECA,R4-CONDOMINIUM,234,2006,431824,16582042,4478015,12104027,91386007,2012
1-00016-7515,225 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,304,1985,257848,11363361,3068391,8294970,62626989,2012
1-00016-7516,1 RIVER TERRACE,TRIBECA,R4-CONDOMINIUM,256,2006,434398,18548795,5056393,13492402,101868002,2012
1-00016-7517,70 BATTERY PLACE,TRIBECA,R4-CONDOMINIUM,249,2006,438177,16825997,4543895,12282102,92729993,2012
1-00016-7518,333 RECTOR PLACE,TRIBECA,R4-CONDOMINIUM,174,1985,237725,9447192,2688670,6758522,51026997,2012
1-00017-7502,33 RECTOR STREET,FINANCIAL,R4-CONDOMINIUM,13,1920,37236,1510665,252088,1258577,9502001,2012
1-00018-7501,13 RECTOR STREET,FINANCIAL,R4-CONDOMINIUM,452,1956,316810,13787571,4467021,9320550,70370007,2012
1-00024-7501,40 BROAD STREET,FINANCIAL,R4-CONDOMINIUM,162,1982,231300,9462483,1804140,7658343,57820986,2012
1-00025-7501,15 WILLIAM STREET,FINANCIAL,R4-CONDOMINIUM,320,2005,477747,19606737,5828513,13778224,104026043,2012
1-00026-7501,15 BROAD STREET,FINANCIAL,R4-CONDOMINIUM,382,1914,648926,28721465,6995422,21726043,164031994,2012
1-00027-7501,55 WALL STREET,FINANCIAL,R4-CONDOMINIUM,107,1836,159544,7039081,1987918,5051163,38135998,2012
