Boro-Block-Lot,Address,Neighborhood,Building Classification,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Estimated Expense,Net Operating Income,Full Market Value,Report Year
1-00016-7521,212 WARREN STREET,TRIBECA,R4-ELEVATOR,191,2000,334154,15427890,4621350,10806540,86473008,2016
1-00076-7501,15 CLIFF STREET,FINANCIAL,RR-CONDOMINIUM,156,2000,142626,5352501,1210670,4141831,31581000,2014
1-00076-7501,15 CLIFF STREET,FINANCIAL,RR-CONDOMINIUM,156,2000,142626,6298364,2364739,3933625,31451000,2015
1-00076-7501,15 CLIFF STREET,FINANCIAL,RR-CONRENT,156,2000,142626,6593600,2119422,4474178,35800000,2016
1-00076-7501,15 CLIFF STREET,FINANCIAL,RR-CONRENT,156,2000,142626,6779014,2234949,4544065,36350000,2017
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,26,2000,68033,2456672,688494,1768178,13349997,2012
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-ELEVATOR,26,2000,68033,2515180,719789,1795391,13672000,2013
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,26,2000,68033,2426737,738158,1688579,12874999,2014
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-CONDOMINIUM,26,2000,68033,2370950,642912,1728038,13720000,2015
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-ELEVATOR,26,2000,68033,3081895,952462,2129433,17038002,2016
1-00190-7506,124 HUDSON STREET,TRIBECA,R4-ELEVATOR,26,2000,68033,3019305,936134,2083171,16663001,2017
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4-CONDOMINIUM,16,2000,15704,497974,159396,338578,2556003,2012
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4-ELEVATOR,16,2000,15704,505198,159553,345645,2632001,2013
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4-CONDOMINIUM,16,2000,15704,510694,165363,345331,2633001,2014
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4-ELEVATOR,16,2000,15704,587801,200697,387104,3097998,2016
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4-ELEVATOR,16,2000,15704,661138,207921,453217,3625001,2017
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4  -ELEVATOR,16,2000,15704,633342,191118,442224,3559001,2018
1-00390-7501,217 EAST 7 STREET,ALPHABET CITY,R4  -ELEVATOR,16,2000,15704,749866,258174,491692,3992999,2019
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-CONDOMINIUM,63,2000,56479,2038892,591335,1447557,10928998,2012
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-ELEVATOR,63,2000,56479,2089158,580604,1508554,11485004,2013
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-CONDOMINIUM,63,2000,56479,2010243,576445,1433798,10933006,2014
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-CONDOMINIUM,63,2000,56479,2047364,570438,1476926,11745997,2015
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-ELEVATOR,63,2000,56479,2320157,663063,1657094,13260002,2016
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4-ELEVATOR,63,2000,56479,2433680,793530,1640150,13120002,2017
1-00425-7502,199 BOWERY,LOWER EAST SIDE,R4  -ELEVATOR,63,2000,56479,2598034,633130,1964904,15815001,2018
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-CONDOMINIUM,37,2000,63723,2612643,518705,2093938,15809001,2012
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-ELEVATOR,37,2000,63723,2634309,525715,2108594,16057002,2013
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-CONDOMINIUM,37,2000,63723,2548747,427332,2121415,16174996,2014
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-CONDOMINIUM,37,2000,63723,2565488,363858,2201630,17578003,2015
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-ELEVATOR,37,2000,63723,3212276,660170,2552106,20422002,2016
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4-ELEVATOR,37,2000,63723,3120515,556939,2563576,20507000,2017
1-00767-7503,201 WEST 17 STREET,CHELSEA,R4  -ELEVATOR,37,2000,63723,3247961,699679,2548282,20510998,2018
1-01051-7501,420 WEST 42 STREET,CLINTON,RR-CONDOMINIUM,262,2000,245000,7943596,2943824,4999772,38683000,2012
1-01051-7501,420 WEST 42 STREET,CLINTON,RR  -CONRENT,262,2000,257663,10855342,4454993,6400349,51516000,2018
